Team name
Frankfurt Shamrocks
Stuttgart Warriors
Berlin Titans
Hamburg Hurricanes
Cologne Celtics
Dusseldorf Demons
Mainz Magpies
Leipzig Lions
Nuremberg Netties
Wiesbaden Wildfires
Bremen Buccaneers
Mannheim Mavericks
Augsburg Ash
Erfurt Eagles
Kassel Kings
Rostock Royals
Osnabruck Ospreys
Magdeburg Mohawks
Wuppertal Wombats
Halle Hurricanes
Gera Giants
Jena Jaguars
Kiel Kestrels
Heidelberg Harriers
Ludwigsburg Llamas
Potsdam Panthers
Regensburg Rhinos
Chemnitz Chargers
Gelsenkirchen Griffins
Dresden Dragons
Schwerin Swans
Zwickau Zebras
Hannover Hawks
Bielefeld Buffalo
Braunschweig Brambles
Koblenz Kiwis
Gorlitz Gorillas
Cottbus Cougars
Weimar Warriors
Gotha Geese
Ilmenau Iguanas
Jena Jaguars
Erlangen Elk
Kaiserslautern Kangaroos
Passau Pumas
Paris Celts
Brussels Hounds
Amsterdam Alphas
Lisbon Lions
Madrid Mavericks
Barcelona Bandits
Rome Rovers
Venice Vikings
Milan Mavericks
Turin Titans
Naples Natives
Budapest Believers
Prague Power
Bratislava Warriors
Vienna Valiants
Stockholm Strikers
Copenhagen Celtics
Oslo Ospreys
Helsinki Hawks
Hamburg GAA
Cologne GAA
Dusseldorf GAA
Frankfurt GAA
Stuttgart GAA
Nantes GAC
Bordeaux GAC
Lyon GAC
Marseille GAC
Toulouse GAC
Bilbao GAC
Barcelona GAC
Madrid GAC
