Date,Location,Name
2022-09-10,Paris,French Hurling Championship Round 2
2022-08-20,Brussels,Belgian Gaelic Football Championship Round 4
2022-07-16,Amsterdam,Dutch Camogie League Final
2022-06-18,Berlin,German Hurling Cup Final
2022-05-21,Madrid,Spanish Hurling League Round 3
2022-04-30,Barcelona,Catalonian Gaelic Football Championship Round 2
2022-03-19,Rome,Italian Hurling Cup Final
2022-02-12,Turin,Piedmont Hurling League Round 3
2022-01-08,Lisbon,Portuguese Hurling Cup Final
2021-12-11,Naples,Campanian Gaelic Football Championship Round 4
2021-11-20,Budapest,Hungarian Hurling League Round 2
2021-10-16,Vienna,Austrian Hurling Cup Final
2021-09-18,Bratislava,Slovakian Gaelic Football Championship Round 3
2021-08-21,Stockholm,Swedish Hurling League Round 4
2021-07-17,Copenhagen,Danish Hurling Cup Final
2021-06-19,Oslo,Norwegian Gaelic Football Championship Round 2
2021-05-22,Helsinki,Finnish Hurling League Round 3
2021-04-24,Tallinn,Estonian Hurling Cup Final
2021-03-20,Riga,Latvian Gaelic Football Championship Round 4
2021-02-13,Vilnius,Lithuanian Hurling League Round 2
2021-01-09,Minsk,Belarusian Hurling Cup Final
2020-12-12,Moscow,Russian Gaelic Football Championship Round 3
2020-11-21,Kiev,Ukrainian Hurling League Round 4
2020-10-17,Minsk,Belarusian Hurling Cup Final
2020-09-19,St. Petersburg,Russian Gaelic Football Championship Round 3
2020-08-22,Hamburg,German Hurling Cup Final
2020-07-18,Prague,Czech Hurling League Round 4
2020-06-20,Budapest,Hungarian Hurling League Round 2
2020-05-23,Barcelona,Iberian Gaelic Football Championship Round 2
2020-04-25,Brussels,Belgian Gaelic Football Championship Round 4
2020-03-21,Paris,French Hurling Championship Round 2
2020-02-14,Amsterdam,Dutch Camogie League Final
2020-01-10,Lisbon,Portuguese Hurling Cup Final
2019-12-13,Madrid,Spanish Hurling League Round 3
2019-11-22,Bratislava,Slovakian Gaelic Football Championship Round 3
2019-10-18,Vienna,Austrian Hurling Cup Final
2019-09-20,Stockholm,Swedish Hurling League Round 4
2019-08-23,Copenhagen,Danish Hurling Cup Final
2019-07-19,Oslo,Norwegian Gaelic Football Championship Round 2
2019-06-21,Helsinki,Finnish Hurling League Round 3
2019-05-24,Tallinn,Estonian Hurling Cup Final
2019-04-26,Riga,Latvian Gaelic Football Championship Round 4
2019-03-22,Berlin,Central-East Round 2
2019-02-15,Brussels,Belgian Gaelic Football Championship Round 4
2019-01-11,Paris,French Hurling Championship Round 2
2018-12-14,Madrid,Spanish Hurling League Round 3
2018-11-23,Amsterdam,Dutch Camogie League Final
2018-10-19,Vienna,Austrian Hurling Cup Final
2018-09-21,Bratislava,Slovakian Gaelic Football Championship Round 3
2018-08-24,Stockholm,Swedish Hurling League Round 4
2018-07-20,Copenhagen,European Gaelic Football Championship Round 2
2018-06-22,Oslo,Norwegian Gaelic Football Championship Round 2
2018-05-25,Helsinki,Finnish Hurling League Round 3
2018-04-27,Tallinn,Estonian Hurling Cup Final
2018-03-23,Riga,Latvian Gaelic Football Championship Round 4
2018-02-16,Berlin,Central-East Round 2
2018-01-12,Brussels,Belgian Gaelic Football Championship Round 4
2017-12-15,Paris,French Hurling Championship Round 2
2017-11-24,Madrid,Spanish Hurling League Round 3
